List of Rooftop Solar Installation  under Net Metering Arrangement against MNRE Allocation for FY 2019-20 (Installed at 2020-21 & 2021-22) ,,,,,,,
S.No.,Solar Plant Capacity (kWp),Commissioning Date,Total Project Cost (INR),User Share (INR),MNRE Share (INR),Division,District
1,2.97,30 Jan 2021,133650,80190,53460,Ranchi Kokar,Ranchi
2,1.98,30 Jan 2021,89100,53460,35640,Ranchi Central,Ranchi
3,1.98,30 Jan 2021,89100,53460,35640,Ranchi Doranda,Ranchi
4,4.95,3 Feb 2021,207900,141120,66780,Ranchi Central,Ranchi
5,2.97,13 Feb 2021,133650,80190,53460,Ranchi Central,Ranchi
6,3,13 Feb 2021,133650,80190,53460,Ranchi Central,Ranchi
7,3,19 Feb 2021,134154,80190,53964,Dhanbad,Dhanbad
8,4.95,19 Feb 2021,207900,141120,66780,Jamshedpur,Purbi Singhbhum
9,1.98,26 Feb 2021,89100,53460,35640,Dhanbad,Dhanbad
10,2.97,3 March 2021,133650,80190,53460,Jamshedpur,Purbi Singhbhum
11,4.95,15-Mar-21,207900,141120,66780,Ranchi New Capital,Ranchi
12,7.92,18-Mar-21,332640,240912,91728,Mango,Purbi Singhbhum
13,2.97,10-Apr-21,133650,80190,53460,Ranchi Doranda,Ranchi
14,3.96,17-Apr-21,166320,107856,58464,Ranchi Doranda,Ranchi
15,6.93,7-May-21,291060,207648,83412,Ranchi Kokar,Ranchi
16,4.95,2-Jun-21,210000,142800,67200,Hazaribagh,Hazaribagh
17,2.97,8-Jun-21,133650,80190,53460,Hazaribagh,Hazaribagh
18,2.97,8-Jun-21,133650,80190,53460,Hazaribagh,Hazaribagh
19,3.96,12-Jun-21,166320,107856,58464,Ranchi Kokar,Ranchi
20,1.98,23-Jun-21,89100,53460,35640,Ranchi East,Ranchi
21,2.97,26-Jun-21,133650,80190,53460,Ranchi Kokar,Ranchi
22,2,22-Jul-21,90000,54000,36000,Ranchi Doranda,Ranchi
23,2.97,22-Jul-21,133650,80190,53460,Ranchi Kokar,Ranchi
24,1.98,22-Jul-21,89100,53460,35640,Ranchi New Capital,Ranchi
25,3,22-Jul-21,135000,81000,54000,Ranchi East,Ranchi
26,2.97,22-Jul-21,133650,80190,53460,Hazaribagh,Hazaribagh
27,2.97,22-Jul-21,133650,80190,53460,Mango,Purbi Singhbhum
28,2.97,22-Jul-21,133650,80190,53460,Jamshedpur,Purbi Singhbhum
29,5,23-Jul-21,210000,142800,67200,Ranchi Central,Ranchi
30,5,23-Jul-21,210000,142800,67200,Ranchi Central,Ranchi
31,3.96,24-Jul-21,166320,107856,58464,Koderma,Koderma
32,3,30-Jul-21,135000,81000,54000,Nirsa,Dhanbad
33,5,30-Jul-21,210000,142800,67200,Nirsa,Dhanbad
34,10,30-Jul-21,420000,310800,109200,Nirsa,Dhanbad
35,2.97,7-Aug-21,133650,80190,53460,Mango,Purbi Singhbhum
36,10,18-Aug-21,420000,310800,109200,Ranchi New Capital,Ranchi
37,5,18-Aug-21,210000,142800,67200,Jamshedpur,Purbi Singhbhum
38,2.01,14-Sep-2021,90450.00,54450.00,36000.00,Dhanbad,Dhanbad
39,4,16-Sep-21,168000,109200,58800,Ranchi West,Ranchi
40,3.015,29-Sep-2021,135675.00,81675.00,54000.00,Ranchi Central,Ranchi
41,3,1-Oct-21,135000,81000,54000,Ranchi Kokar,Ranchi
42,3.015,5-Oct-2021,135675.00,81675.00,54000.00,Ranchi East,Ranchi
43,2.01,6-Oct-2021,90450.00,54450.00,36000.00,Doranda,Ranchi
44,10,6-Oct-21,420000,310800,109200,Ranchi Kokar,Ranchi
45,3,8-Oct-21,135000,81000,54000,Ranchi Doranda,Ranchi
46,5,19-Oct-21,210000,142800,67200,Ranchi Central,Ranchi
47,5,21-Oct-21,207900,141120,66780,Hazaribagh,Hazaribagh
48,3.015,26-Oct-2021,135675.00,81675.00,54000.00,Chas,Bokaro
49,2.01,2-Nov-2021,90450.00,54450.00,36000.00,Chas,Bokaro
50,5,19-Nov-21,210000,142800,67200,Ranchi Doranda,Ranchi
51,5,19-Nov-21,210000,142800,67200,Ranchi Central,Ranchi
52,5,21-Nov-21,210000,142800,67200,Ranchi Kokar,Ranchi
53,5,21-Nov-21,210000,142800,67200,Ranchi East ,Ranchi
54,5,21-Nov-21,210000,142800,67200,Jamshedpur,Purbi Singhbhum
55,5,21-Nov-21,210000,142800,67200,Deogahar,Deogahar
56,3.015,25-Nov-2021,135675.00,81675.00,54000.00,Chas,Bokaro
57,2.01,30-Nov-2021,90450.00,54450.00,36000.00,New Capital,Ranchi
58,3.015,30-Nov-2021,135675.00,81675.00,54000.00,New Capital,Ranchi
59,3.015,2-Dec-2021,135675.00,81675.00,54000.00,Seraikela,Seraikela Kharsawan
60,3.015,2-Dec-2021,135675.00,81675.00,54000.00,Ranchi West,Ranchi
61,4,7-Dec-21,192750,130350,62400,Giridih(S),Giridih
62,3.015,9-Dec-2021,135675.00,81675.00,54000.00,Chas,Bokaro
63,2,10-Dec-21,103041,67041,36000,Mango,Purbi Singhbhum
64,4,10-Dec-21,189831,127431,62400,New capital,Ranchi
65,4,14-Dec-21,192750,130350,62400,Giridih(S),Giridih
66,10,15-Dec-21,439290,326490,112800,Ranchi west,Ranchi
67,3.015,19-Dec-2021,135675.00,81675.00,54000.00,Jharia,Dhanbad
68,3.015,19-Dec-2021,135675.00,81675.00,54000.00,Jharia,Dhanbad
69,3.015,19-Dec-2021,135675.00,81675.00,54000.00,Dhanbad,Dhanbad
70,2.01,19-Dec-2021,90450.00,54450.00,36000.00,Dhanbad,Dhanbad
71,8,20-Dec-21,486000,390000,96000,Dhanbad,Dhanbad
72,3.015,21-Dec-2021,135675.00,81675.00,54000.00,Gobindpur,Dhanbad
73,3.015,24-Dec-2021,135675.00,81675.00,54000.00,New Capital,Ranchi
74,6,24-Dec-21,282000,202800,79200,Mango,Purbi Singhbhum
75,3.015,28-Dec-2021,135675.00,81675.00,54000.00,JSR,Purbi Singhbhum
76,3.015,28-Dec-2021,135675.00,81675.00,54000.00,Ranchi Central,Ranchi
77,3.015,28-Dec-2021,135675.00,81675.00,54000.00,Ranchi Central,Ranchi
78,3.015,28-Dec-2021,135675.00,81675.00,54000.00,Kokar,Ranchi
79,3.015,31-Dec-2021,135675.00,81675.00,54000.00,JSR,Purbi Singhbhum
80,3.015,2-Jan-2022,135675.00,81675.00,54000.00,Kokar,Ranchi
81,3.015,3-Jan-2022,135675.00,81675.00,54000.00,Ranchi Doranda,Ranchi
82,3.015,4-Jan-2022,135675.00,81675.00,54000.00,Mango,Purbi Singhbhum
83,2.01,4-Jan-2022,90450.00,54450.00,36000.00,JSR,Purbi Singhbhum
84,3.015,5-Jan-2022,135675.00,81675.00,54000.00,Ghatsila,Purbi Singhbhum
85,3.015,10-Jan-2022,135675.00,81675.00,54000.00,Giridih,Giridih
86,3.015,10-Jan-2022,135675.00,81675.00,54000.00,JSR,Purbi Singhbhum
86,328.49,,14533926,9521130,5012796,,
